Timestamp;TEMPERATURE[degC];HUMIDITY[%];WIND_SPEED[m1s];WIND_DIR[deg];GHI[kW1m2];POA Irr[kW1m2];P_Gaia[kW];P_Solar[kW];Pressure[mbar];Azimuth[deg];Elevation[deg]
43643,54167;19,55525;0,6;5,976138889;296,4280556;0,751836667;0,778561111;0;5,386265958;1000;0;0
43643,58333;20,09938889;0,6;5,595833333;300,4033333;0,633546111;0,635404444;0;4,443014826;1000;0;0
43643,625;20,25191667;0,599305556;4,731305556;305,6472222;0,414000278;0,377314444;0;2,703035452;1000;0;0
43643,66667;19,92305556;0,6115;4,421472222;307,5219444;0,282988889;0,194639722;0;1,424094297;1000;0;0
43643,70833;19,72216667;0,7;4,321833333;309,3994444;0,216285833;0,1058675;0;0,782846279;1000;0;0
43643,75;18,82455556;0,724583333;4,540138889;306,9936111;0,072478056;0,038317222;0;0,286645483;1000;0;0
43643,79167;18,11286111;0,8;3,847472222;308,3244444;0,016542222;0,012781389;0;0,096184619;1000;0;0
43643,83333;17,37369444;0,8;2,779333333;307,995;0,00036;0,000731667;0;0,00553206;1000;0;0
43643,875;17,2485;0,8;3,757722222;297,9494444;0;0;0;0;1000;0;0
43643,91667;16,94780556;0,8;4,096111111;295,7452778;0;0;0;0;1000;0;0
43643,95833;16,71569444;0,804111111;3,671611111;305,0888889;0;0;0;0;1000;0;0
43644;16,58180556;0,8;3,72175;309,1363889;0;0;0;0;2000;0;0
43556;2,017199222;1,6;2,200639066;351,3398166;0;0;0;0;2000;0;0
43556,04167;0,526;0,8;0,994277778;168,3797222;0;0;0;0;1000;0;0
43556,08333;0,213527778;0,8;0,934138889;184,6241667;0;2,77778E-07;0;0;1000;0;0
43556,125;-0,192638889;0,829333333;0,650916667;193,9991667;0;0,0000025;0;0;1000;0;0
43556,16667;-0,528138889;0,9;0,747722222;157,3022222;0,002104722;0,0031175;0;0,025487192;1000;0;0
43556,20833;-0,088305556;0,9;0,576194444;116,4441667;0,066926111;0,027384722;0;0,222775413;1000;0;0
43556,25;2,253166667;0,823833333;0,610361111;175,6508333;0,215480556;0,123877222;0;0,985321389;1000;0;0
43556,29167;4,243083333;0,718416667;0,903055556;288,8436111;0,364046944;0,342455278;0;2,624938786;1000;0;0
43556,33333;6,233027778;0,461916667;1,241194444;160,6202778;0,498163056;0,574820278;0;4,237980987;1000;0;0
43556,375;6,946833333;0,439361111;2,028027778;196,6622222;0,593519722;0,762681667;0;5,491227254;1000;0;0
43556,41667;7,637555556;0,303083333;2,931777778;126,2755556;0,652314722;0,899135833;0;6,380879897;1000;0;0
43556,45833;7,732166667;0,321388889;3,93925;149,2019444;0,65916;0,958044167;0;6,798124654;1000;0;0
43556,5;7,783333333;0,301083333;3,889972222;139,2233333;0,621815833;0,9467025;0;6,722499586;1000;0;0
43556,54167;7,785555556;0,304944444;4,187444444;145,535;0,506579167;0,801604167;0;5,799693039;1000;0;0
43556,58333;7,310722222;0,303722222;4,573833333;152,6611111;0,4108;0,6983625;0;5,133232043;1000;0;0
43556,625;6,781361111;0,385166667;3,963694444;140,3897222;0,262298889;0,4850825;0;3,64940934;1000;0;0
43556,66667;5,61675;0,516638889;3,876527778;146,1541667;0,110258611;0,232523056;0;1,807257136;1000;0;0
43556,70833;4,081944444;0,68175;3,133222222;142,7519444;0,015974722;0,032750556;0;0,261710582;1000;0;0
43556,75;2,997805556;0,8;2,649472222;141,2261111;0;3,58333E-05;0;0;1000;0;0
43556,79167;2,635138889;0,8;3,034277778;146,9838889;0;0;0;0;1000;0;0
43556,83333;3,077833333;0,8;3,116777778;142,6219444;0;0;0;0;1000;0;0
43556,875;3,549138889;0,734861111;3,560944444;139,3366667;0;0;0;0;1000;0;0
43556,91667;3,654305556;0,712777778;3,872166667;137,9666667;0;0;0;0;1000;0;0
43556,95833;3,347972222;0,8;3,153;131,8280556;0;0,000005;0;0;1000;0;0
43557;6,996776882;1,6;5,832620172;280,9049736;0;4,19561E-05;0;0;2000;0;0
43342;15,46413889;0,9;0,889194444;109,0233333;0;0;0;0;2000;0;0
43342,04167;15,48133333;0,9;0,953805556;100,7869444;0;0;0;0;1000;0;0
43342,08333;15,62127778;0,9;1,018111111;120,7825;0;0;0;0;1000;0;0
43342,125;15,85816667;0,9;1,065555556;101,1966667;0;0;0;0;1000;0;0
43342,16667;16,02544444;0,9;0,917333333;95,72416667;0,0011575;0,001166389;0;0,00887255;1000;0;0
43342,20833;16,05283333;0,9;0,610611111;141,0452778;0,012620278;0,008308611;0;0,063132625;1000;0;0
43342,25;16,23366667;0,9;1,0135;226,6472222;0,036746667;0,022133056;0;0,167734533;1000;0;0
43342,29167;16,17519444;0,960111111;1,232027778;191,1944444;0,037197778;0,021519722;0;0,163149989;1000;0;0
